name	par	states	choices	obj	obj-prlb	mixed	category	achievable	storm.ach	prism.ach	epmc.ach	multigain.ach
rov	B1000Unf1	37501	45001	2	(0,2,0,0)	False	tot	False: 2, True: 1	1.1157808303833008	7.219241142272949	3.034301996231079	NS
rov	B1000Unf2			2	(2,0,0,0)	False	tot		MO	TO	ERR	NS
sen	N1	462	1079	3	(0,0,3,0)	False	lra	False: 2	0.17977237701416016	NS	NS	1.8978559970855713
sen	N2	7860	24578	3	(0,0,3,0)	False	lra	False: 2	0.565852165222168	NS	NS	5.9680702686309814
sen	N3	77766	299871	3	(0,0,3,0)	False	lra	False: 2	27.325005292892456	NS	NS	767.1098802089691
sen	N4	572452	2611300	3	(0,0,3,0)	False	lra	False: 1	1472.5166790485382	NS	NS	TO
sen	N5	3565990	18757470	3	(0,0,3,0)	False	lra		TO	NS	NS	MO
srv	B000Unf0	47248	90400	2	(0,2,0,0)	True	tot	False: 1, True: 1	1.3166720867156982	TO	3.5061416625976562	NS
tea	N2	865	1057	2	(1,1,0,0)	False	tot	True: 2	0.14947509765625	1.2947838306427002	ERR	NS
tea	N2	865	1057	3	(2,1,0,0)	False	tot	False: 2	0.1989758014678955	1.3273322582244873	ERR	NS
tea	N3	7861	9673	2	(1,1,0,0)	False	tot	True: 2	0.21622562408447266	5.789416074752808	ERR	NS
tea	N3	7861	9673	3	(2,1,0,0)	False	tot	False: 2	0.2778489589691162	7.841309309005737	ERR	NS
tea	N4	65545	79857	2	(1,1,0,0)	False	tot	True: 2	0.9945101737976074	117.93962001800537	ERR	NS
tea	N4	65545	79857	3	(2,1,0,0)	False	tot	False: 2	1.635148525238037	412.3776400089264	ERR	NS
tea	N5	666337	804897	2	(1,1,0,0)	False	tot	True: 2	15.168311595916748	4335.100602865219	ERR	NS
tea	N5	666337	804897	3	(2,1,0,0)	False	tot	False: 2	19.376231908798218	6700.396113157272	ERR	NS
uav	B0500Unf1	12848	16282	2	(1,1,0,0)	True	tot	True: 3	0.44039177894592285	12.93533992767334	3.200611114501953	NS
uav	B0750Unf1	90172	127090	2	(1,1,0,0)	True	tot	True: 3	2.5499649047851562	85.16080856323242	12.546934366226196	NS
uav	B1000Unf1	278466	424823	2	(1,1,0,0)	True	tot	True: 3	6.360565185546875	159.76113629341125	41.46049475669861	NS
uav	B1500Unf1	758602	1215049	2	(1,1,0,0)	True	tot	True: 3	20.437331438064575	463.246386051178	136.88031554222107	NS
vir	N2	80	393	2	(0,0,2,0)	False	lra	False: 2	0.17255234718322754	NS	NS	2.4452450275421143
vir	N3	19682	170578	2	(0,0,2,0)	False	lra	True: 2	1.1503474712371826	NS	NS	7.279261350631714
vir	N4			2	(0,0,2,0)	False	lra		MO	NS	NS	MO
